State,Africa,Asia,Caribbean,Europe,Middle East,South America
Alabama,48,17,0,0,27,13
Alaska,116,16,0,8,6,0
Arizona,1664,541,52,2,851,23
Arkansas,0,13,0,0,0,0
California,693,612,8,587,3799,19
Colorado,522,822,9,70,302,3
Connecticut,313,47,0,0,143,16
Delaware,0,9,0,0,0,0
Florida,503,488,885,40,397,167
Georgia,1012,1405,19,24,410,19
Hawaii,0,6,0,1,0,0
Idaho,540,181,0,8,194,12
Illinois,586,1178,9,39,810,36
Indiana,228,1499,3,0,63,0
Iowa,205,517,2,0,63,0
Kansas,269,401,1,1,69,0
Kentucky,826,713,66,5,380,0
Louisiana,36,43,7,0,37,12
Maine,215,3,0,0,207,0
Maryland,564,658,7,29,250,0
Massachusetts,775,348,2,64,499,0
Michigan,753,599,3,7,1646,4
Minnesota,1152,974,0,53,112,0
Mississippi,11,4,0,0,0,0
Missouri,768,334,27,30,260,12
Montana,0,0,0,0,0,0
Nebraska,154,836,4,17,189,0
Nevada,364,69,37,0,127,13
New Hampshire,259,124,0,0,63,0
New Jersey,62,48,39,10,150,5
New Mexico,80,42,8,0,63,14
New York,1435,1880,44,177,511,3
North Carolina,866,1142,50,62,310,45
North Dakota,182,206,0,5,104,0
Ohio,1020,1417,3,67,468,14
Oklahoma,28,400,0,17,34,0
Oregon,298,349,0,160,213,9
Pennsylvania,1084,1149,23,101,403,4
Rhode Island,111,11,1,0,33,29
South Carolina,77,118,3,2,26,0
South Dakota,258,217,0,0,9,0
Tennessee,560,544,60,5,347,14
Texas,1779,3237,119,4,2332,8
Utah,599,341,2,1,166,0
Vermont,93,199,0,0,20,0
Virginia,391,245,11,24,623,18
Washington,686,598,12,629,694,6
West Virginia,15,6,0,0,10,0
Wisconsin,293,959,12,2,144,4
Wyoming,0,0,0,0,0,0
